id,lat,lon
0,6.549855,-73.9449275
1,6.549855,-73.94420226
2,6.549855,-73.94347702
3,6.549855,-73.94275178
4,6.549855,-73.94202654
5,6.549855,-73.9413013
6,6.549855,-73.94057606
7,6.549855,-73.93985082
8,6.549855,-73.93912558
9,6.549855,-73.93840034
10,6.549855,-73.9376751
11,6.549855,-73.93694986
12,6.549855,-73.93622462
13,6.549855,-73.93549938
14,6.549855,-73.93477414
15,6.549855,-73.9340489
16,6.549855,-73.93332366
17,6.549855,-73.93259842
18,6.549855,-73.93187318
19,6.549855,-73.93114794
20,6.549855,-73.9304227
21,6.549855,-73.92969746
22,6.549855,-73.92897222
23,6.549855,-73.92824698
24,6.549855,-73.92752174
25,6.549855,-73.9267965
26,6.549855,-73.92607126
27,6.549855,-73.92534602
28,6.549855,-73.92462078
29,6.549855,-73.92389554
30,6.549855,-73.9231703
31,6.549855,-73.92244506
32,6.549855,-73.92171982
33,6.549855,-73.92099458
34,6.549855,-73.92026934
35,6.549855,-73.9195441
36,6.549855,-73.91881886
37,6.549855,-73.91809362
38,6.549855,-73.91736838
39,6.549855,-73.91664314
40,6.549855,-73.9159179
41,6.549855,-73.91519266
42,6.549855,-73.91446742
43,6.549855,-73.91374218
44,6.549855,-73.91301694
45,6.549855,-73.9122917
46,6.549855,-73.91156646
47,6.549855,-73.91084122
48,6.549855,-73.91011598
49,6.549855,-73.90939074
50,6.549855,-73.9086655
51,6.549855,-73.90794026
52,6.549855,-73.90721502
53,6.549855,-73.90648978
54,6.549855,-73.90576454
55,6.549855,-73.9050393
56,6.549855,-73.90431406
57,6.549855,-73.90358882
58,6.549855,-73.90286358
59,6.549855,-73.90213834
60,6.549855,-73.9014131
61,6.549855,-73.90068786
62,6.549855,-73.89996262
63,6.548132555,-73.9449275
64,6.548132555,-73.94420226
65,6.548132555,-73.94347702
66,6.548132555,-73.94275178
67,6.548132555,-73.94202654
68,6.548132555,-73.9413013
69,6.548132555,-73.94057606
70,6.548132555,-73.93985082
71,6.548132555,-73.93912558
72,6.548132555,-73.93840034
73,6.548132555,-73.9376751
74,6.548132555,-73.93694986
75,6.548132555,-73.93622462
76,6.548132555,-73.93549938
77,6.548132555,-73.93477414
78,6.548132555,-73.9340489
79,6.548132555,-73.93332366
80,6.548132555,-73.93259842
81,6.548132555,-73.93187318
82,6.548132555,-73.93114794
83,6.548132555,-73.9304227
84,6.548132555,-73.92969746
85,6.548132555,-73.92897222
86,6.548132555,-73.92824698
87,6.548132555,-73.92752174
88,6.548132555,-73.9267965
89,6.548132555,-73.92607126
90,6.548132555,-73.92534602
91,6.548132555,-73.92462078
92,6.548132555,-73.92389554
93,6.548132555,-73.9231703
94,6.548132555,-73.92244506
95,6.548132555,-73.92171982
96,6.548132555,-73.92099458
97,6.548132555,-73.92026934
98,6.548132555,-73.9195441
99,6.548132555,-73.91881886
100,6.548132555,-73.91809362
101,6.548132555,-73.91736838
102,6.548132555,-73.91664314
103,6.548132555,-73.9159179
104,6.548132555,-73.91519266
105,6.548132555,-73.91446742
106,6.548132555,-73.91374218
107,6.548132555,-73.91301694
108,6.548132555,-73.9122917
109,6.548132555,-73.91156646
110,6.548132555,-73.91084122
111,6.548132555,-73.91011598
112,6.548132555,-73.90939074
113,6.548132555,-73.9086655
114,6.548132555,-73.90794026
115,6.548132555,-73.90721502
116,6.548132555,-73.90648978
117,6.548132555,-73.90576454
118,6.548132555,-73.9050393
119,6.548132555,-73.90431406
120,6.548132555,-73.90358882
121,6.548132555,-73.90286358
122,6.548132555,-73.90213834
123,6.548132555,-73.9014131
124,6.548132555,-73.90068786
125,6.548132555,-73.89996262
126,6.54641011,-73.9449275
127,6.54641011,-73.94420226
128,6.54641011,-73.94347702
129,6.54641011,-73.94275178
130,6.54641011,-73.94202654
131,6.54641011,-73.9413013
132,6.54641011,-73.94057606
133,6.54641011,-73.93985082
134,6.54641011,-73.93912558
135,6.54641011,-73.93840034
136,6.54641011,-73.9376751
137,6.54641011,-73.93694986
138,6.54641011,-73.93622462
139,6.54641011,-73.93549938
140,6.54641011,-73.93477414
141,6.54641011,-73.9340489
142,6.54641011,-73.93332366
143,6.54641011,-73.93259842
144,6.54641011,-73.93187318
145,6.54641011,-73.93114794
146,6.54641011,-73.9304227
147,6.54641011,-73.92969746
148,6.54641011,-73.92897222
149,6.54641011,-73.92824698
150,6.54641011,-73.92752174
151,6.54641011,-73.9267965
152,6.54641011,-73.92607126
153,6.54641011,-73.92534602
154,6.54641011,-73.92462078
155,6.54641011,-73.92389554
156,6.54641011,-73.9231703
157,6.54641011,-73.92244506
158,6.54641011,-73.92171982
159,6.54641011,-73.92099458
160,6.54641011,-73.92026934
161,6.54641011,-73.9195441
162,6.54641011,-73.91881886
163,6.54641011,-73.91809362
164,6.54641011,-73.91736838
165,6.54641011,-73.91664314
166,6.54641011,-73.9159179
167,6.54641011,-73.91519266
168,6.54641011,-73.91446742
169,6.54641011,-73.91374218
170,6.54641011,-73.91301694
171,6.54641011,-73.9122917
